年齡,性別,臉部情況,品牌,產品名稱,產品描述
(15-20),Male,有皺紋無黑斑,克蘭詩,型男保濕緊緻凝露,"膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚。
質地： 凝乳。
使用說明： 每天早上和/或晚上使用。 
產品特點：水潤補濕，肌膚明顯緊緻柔滑。 重塑臉部線條。 臉部更緊緻。 抗汙染防護。"
(15-20),Male,無皺紋有黑斑,克蘭詩,型男零油光保濕凝露,"關於產品：你需要保濕和降溫來對抗炎炎夏日嗎？超效保濕凝露是專為男仕推出的保濕凝露，質地毫不油膩，給你沁涼快感。
膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚。
質地： 凝膠。
使用說明： 用於臉部和頸部。
產品特點：層層滲透肌底，補充水份，強化男性肌膚的屏障。"
(15-20),Male,有皺紋有黑斑,克蘭詩,高效緊膚乳液,"關於產品：訂定目標，延緩深度紋路與皺紋，同時緊緻肌膚，CarinsMen輕盈紋路乳霜含有野牛草與中國高良姜，可緊緻肌膚，減少損害肌膚的污染物，在CarinsMen 植物潔顏膠（Active Face Wash）後使用，不油膩的質地，帶來清爽無油光的觸感。
膚質： 一般肌膚, 乾性肌膚, 混合性肌膚。
使用說明： 早晚或於刮鬍後使用。
產品特點：減少頸紋和皺紋 緊實肌膚，明顯緊緻鬆弛部位 蘊含抗污染複合素。"
(15-20),Male,無皺紋無黑斑,克蘭詩,植物潔顏膠,"關於產品：這款潔顏膠蘊含膠草和鹿蹄草萃取，能溫和去除肌膚污垢及污染物，讓肌膚完美潔淨，柔軟因刮鬍而受傷的肌膚，帶來調理及呵護，免受日常侵害。
膚質： 混合性肌膚，乾性肌膚, 一般肌膚, 油性肌膚。
質地： 凝膠。
產品特點：清除堵塞毛孔的污垢，肌膚不再暗沉。 深層清潔肌膚及排毒，抵銷硬水造成的緊繃。"
(15-20),Female,有皺紋無黑斑,克蘭詩,SOS 野芒果滋養面膜,"關於產品:適用於極乾燥肌膚的10分鐘快速保養，具有紓緩及鎮靜的功效，無比豐盈的滋養面膜含野芒果油萃取，10分鐘柔軟和紓緩肌膚，達到深層滋潤的效果，令肌膚更為柔潤，明亮有光澤，倍感舒適。
膚質： 乾性肌膚。"
(15-20),Female,無皺紋有黑斑,克蘭詩,V型緊緻抗引力面膜,"關於產品:V型緊緻抗引力面膜能減少早上醒來或者由壓力、高溫或荷爾蒙失調而引起的浮腫。，克蘭詩肌膚護理專家專為亞洲女性研發的洗卸式面膜，高密度的慕斯質地，彷彿臉部被SPA浴巾緊緊包覆，富含紫珠等植物萃取，10分鐘順效提亮臉部，打造人人稱羨的上鏡V臉。
膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚。
產品特點:讓臉部散發光澤，提亮膚色。"
(15-20),Female,有皺紋有黑斑,克蘭詩,超級精華-黃金雙激萃,"關於產品：克蘭詩首度破解肌膚的年輕密碼！了解唯一*蘊含 [20+1] 種高效植物精華的 [水+油] 配方護理，高效激活5大控齡修復關鍵，嶄新全面雙重配方結合天然成份：薑黃萃取、豐富的薑黃酮及20種高效植物精華，有效提升抗老功效，明顯減淡老化跡象，重拾肌膚光澤。
膚質： 混合性肌膚,乾性肌膚, 一般肌膚, 油性肌膚。
質地： 水狀。
產品特點：肌膚更緊實、明顯撫平細紋、膚色均勻帶有光澤、緊緻毛孔。"
(15-20),Female,無皺紋無黑斑,克蘭詩,純淨化妝水,"關於產品:這款無酒精化妝水蘊含有機蘆薈和有機無花果萃取，能滋潤和柔軟肌膚，蘊含[海洋益生菌]，讓肌膚天然的微生態保持平衡。
膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚。
質地： 水狀。
使用說明： 早上及／或晚上使用。
產品特點:維持肌膚微生態平衡。"
(25-32),Male,有皺紋無黑斑,克蘭詩,高效緊膚乳液,"關於產品：訂定目標，延緩深度紋路與皺紋，同時緊緻肌膚，CarinsMen輕盈紋路乳霜含有野牛草與中國高良姜，可緊緻肌膚，減少損害肌膚的污染物，在CarinsMen 植物潔顏膠（Active Face Wash）後使用，不油膩的質地，帶來清爽無油光的觸感。
膚質： 一般肌膚, 乾性肌膚, 混合性肌膚。
使用說明： 早晚或於刮鬍後使用。
產品特點：減少頸紋和皺紋 緊實肌膚，明顯緊緻鬆弛部位 蘊含抗污染複合素。"
(25-32),Male,無皺紋有黑斑,克蘭詩,氧氣亮白淡斑精華水,"關於產品:氧氣亮白淡斑精華水。
膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚。
質地： 潤澤清透乳。
使用說明： 使用於白天與晚上。
產品特點:膚色更勻淨透亮、有效淡斑、補濕、舒緩、滋養。"
(25-32),Male,有皺紋有黑斑,克蘭詩,型男保濕緊緻凝露,"膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚。
質地： 凝乳。
使用說明： 每天早上和/或晚上使用。 
產品特點：水潤補濕，肌膚明顯緊緻柔滑。 重塑臉部線條。 臉部更緊緻。 抗汙染防護。"
(25-32),Male,無皺紋無黑斑,克蘭詩,水潤奇肌清爽保濕霜,"潤澤保濕霜蘊含透明質酸和有機生命之葉萃取，能深層保濕，澎潤肌膚，配方採用由克蘭詩研究團隊研發的透明質酸複合素（Hyaluronic Power Complex），可加強肌膚的自我補濕系統，保持肌膚的水分儲備。質地清新柔滑，一抹便與肌膚融合，肌膚飽滿亮澤，倍感舒適。
膚質： 乾性肌膚, 一般肌膚。
質地： 乳霜。
使用說明： 每天早上使用。
產品特點:肌膚水嫩飽滿。"
(25-32),Female,有皺紋無黑斑,克蘭詩,漾采肌活美肌乳液,"關於產品:具「GPS晶球科技」的智慧辨識功能，能精準鎖定因日間壓力荷爾蒙而受損老化的肌底，層層強化滲透力、改善黯沉，使肌膚由內而外美肌發光，密羅木等萃取成份，能減少日常壓力造成的疲累細紋、粗糙瑕疵，結合獨家智慧色彩粒子，膚觸瞬間即刻展現清新亮澤光感。
另有適合偏乾性肌膚的漾采肌活美肌霜。
膚質： 一般肌膚, 混合性肌膚。
質地： 乳液。"
(25-32),Female,無皺紋有黑斑,克蘭詩,氧氣亮白淡斑精華水,"關於產品:氧氣亮白淡斑精華水。
膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚。
質地： 潤澤清透乳。
使用說明： 使用於白天與晚上。
產品特點:膚色更勻淨透亮、有效淡斑、補濕、舒緩、滋養。"
(25-32),Female,有皺紋有黑斑,克蘭詩,漾采肌活熬夜霜,"關於產品:這款晚霜可顯著柔滑肌膚、減淡細紋，即使前一晚熬夜、睡眠不足，肌膚第二天也能神采奕奕！ 清晨醒來，肌膚更為細嫩柔滑，水潤光采。輕盈質地有助舒緩肌膚，茉莉花、小蒼蘭和向日葵香氣，則賦予身心愉悅芬芳享受。
膚質： 所有肌膚類型。
質地： 乳霜。
使用說明： 於化妝水或精華液後使用，取適量塗抹於臉部。
產品特點:顯著減淡細紋外觀、提亮肌膚，煥活光采、滋潤保濕、抗汙染防護。"
(25-32),Female,無皺紋無黑斑,克蘭詩,漾采肌活美肌精華水,"關於產品:這款少女熬夜水適合所有膚質，結合天然植萃成分和長短鏈玻尿酸，為肌膚提供長達8小時的強效保濕，同時喚活肌底，使肌膚重拾活力，其配方專門針對抗老，有助顯著緊緻肌膚，維持彈性豐潤，精華水還可以做為前導為肌膚打好基礎，快速吸收後續塗抹的保養品，絲滑柔潤質地可深入滲透肌底，讓肌膚感覺飽滿澎潤，其環保設計瓶裝採用至少25%再生塑膠，25位女性進行的臨床試驗結果。
膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚。
質地： 乳液。
使用說明： 早及／或晚使用。
產品特點:滋潤保濕，肌膚煥然一新，啟動原生活力， 喚活肌膚活力，解決臉部瑕疵及毛孔痘痘困擾。"
(38-43),Male,有皺紋無黑斑,克蘭詩,高效緊實眼霜,"關於產品:以煥活眼霜對抗老化，擊退初現皺紋和魚尾紋，高效緊實眼霜具有抗皺眼霜提拉及緊實肌膚效果，讓雙眼重現亮澤及活力，每晚使用眼霜，質地不黏膩、無油光，搖身一變成為清爽型男。
膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚。
質地： 凝霜。
產品特點:緊實眼周肌膚。 明顯撫平皺紋。 有助減少黑眼圈及泡泡眼。"
(38-43),Male,無皺紋有黑斑,克蘭詩,氧氣亮白淡斑乳液,"關於產品:氧氣亮白淡斑乳液。
膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚。
質地： 水乳液。
使用說明： 使用於白天與晚上。
產品特點:勻淨膚色、煥發光澤、有效淡斑、舒適保濕。"
(38-43),Male,有皺紋有黑斑,克蘭詩,超級精華-黃金雙激萃,"關於產品：克蘭詩首度破解肌膚的年輕密碼！了解唯一*蘊含 [20+1] 種高效植物精華的 [水+油] 配方護理，高效激活5大控齡修復關鍵，嶄新全面雙重配方結合天然成份：薑黃萃取、豐富的薑黃酮及20種高效植物精華，有效提升抗老功效，明顯減淡老化跡象，重拾肌膚光澤。
膚質： 混合性肌膚,乾性肌膚, 一般肌膚, 油性肌膚。
質地： 水狀。
產品特點：肌膚更緊實、明顯撫平細紋、膚色均勻帶有光澤、緊緻毛孔。"
(38-43),Male,無皺紋無黑斑,克蘭詩,煥顏緊緻好氣色面膜,"膚質： 一般肌膚, 乾性肌膚, 混合性肌膚, 油性肌膚。
產品特點:撫平皺紋、緊實肌膚、 重拾光澤。"
(38-43),Female,有皺紋無黑斑,克蘭詩,至臻凝時月神花眼霜,"關於產品
眼霜能為眼周四周脆弱的肌膚設計的珍貴護理。配方的精髓在於取用月神花搭配超低溫萃取技術，萃取出月神花活性凝萃，即刻提拉 長效撫紋。高效而具針對性的活性成分的組合有助加強緊緻拉提：棕櫚酰甘氨酸可撫平表情紋，有機燕麥糖具有立即提拉緊緻肌膚，加勒比櫻桃果核萃有助煥亮肌膚光澤，有機山茶花精油可滋潤肌膚，生命之葉萃取喚醒肌膚保濕力，七葉樹素萃取及植萃咖啡因能減少眼部浮腫，提亮眼周，D-維生素原B5則能強韌睫毛。 日復一日，眼周肌膚更緊緻、更飽滿、更平滑。雙眸更顯年輕明亮，神采飛揚。
膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚。
使用說明： 早上及/或晚上使用。 
產品特點:提拉眼周肌膚、長效撫紋、 提亮眼周肌膚、雙眸更大更亮更有神。"
(38-43),Female,無皺紋有黑斑,克蘭詩,氧氣亮白淡斑乳液,"關於產品:氧氣亮白淡斑乳液。
膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚。
質地： 水乳液。
使用說明： 使用於白天與晚上。
產品特點:勻淨膚色、煥發光澤、有效淡斑、舒適保濕。"
(38-43),Female,有皺紋有黑斑,克蘭詩,超級精華-黃金雙激萃,"關於產品：克蘭詩首度破解肌膚的年輕密碼！了解唯一*蘊含 [20+1] 種高效植物精華的 [水+油] 配方護理，高效激活5大控齡修復關鍵，嶄新全面雙重配方結合天然成份：薑黃萃取、豐富的薑黃酮及20種高效植物精華，有效提升抗老功效，明顯減淡老化跡象，重拾肌膚光澤。
膚質： 混合性肌膚,乾性肌膚, 一般肌膚, 油性肌膚。
質地： 水狀。
產品特點：肌膚更緊實、明顯撫平細紋、膚色均勻帶有光澤、緊緻毛孔。"
(38-43),Female,無皺紋無黑斑,克蘭詩,V型抗引力逆轉精萃,"關於產品：V型抗引力逆轉精萃可緊實臉部肌膚、五官更立體，收緊側臉線條，突顯妳完美迷人的臉型。
膚質： 一般肌膚, 乾性肌膚, 混合性肌膚, 油性肌膚。
質地： 精華液。
使用說明： 在全臉上薄薄擦上一層，並使用克蘭詩的V型緊緻按摩手法按摩臉部。 
產品特點：緊緻臉部線條、肌膚滋潤有光澤。"
(48-53),Male,有皺紋無黑斑,克蘭詩,超能量紅蔘醒眼精華,"關於產品：這款保養品最適合生活步調急速的男士，為疲倦勞累的肌膚注入能量與水份，讓肌膚煥發活力，有機紅蔘萃取具有強大的保養功效，恢復活力，使眼周肌膚更柔滑，煥發神采，雙眼更加炯炯有神。
膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚。
質地： 凝膠。
使用說明： 早晚塗抹於早晚塗抹於眼周部位。
產品特點：雙眼更有活力、滋潤及強化眼周肌膚。"
(48-53),Male,無皺紋有黑斑,克蘭詩,氧氣亮白淡斑精華,"關於產品：肌膚深呼吸、透亮白！氧氣亮白淡斑精華有口皆碑的加勒比櫻桃美白力，再加上全新超級植物-桃金孃萃取，讓肌膚不單是透出光澤，更勻淨無瑕，煥發由內而外的好氣色。
膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚。
質地： 精華液。
使用說明： 早上和/或晚上使用。 
產品特點：亮白有感、健康光澤。"
(48-53),Male,有皺紋有黑斑,克蘭詩,超級精華-黃金雙激萃,"關於產品：克蘭詩首度破解肌膚的年輕密碼！了解唯一*蘊含 [20+1] 種高效植物精華的 [水+油] 配方護理，高效激活5大控齡修復關鍵，嶄新全面雙重配方結合天然成份：薑黃萃取、豐富的薑黃酮及20種高效植物精華，有效提升抗老功效，明顯減淡老化跡象，重拾肌膚光澤。
膚質： 混合性肌膚,乾性肌膚, 一般肌膚, 油性肌膚。
質地： 水狀。
產品特點：肌膚更緊實、明顯撫平細紋、膚色均勻帶有光澤、緊緻毛孔。"
(48-53),Male,無皺紋無黑斑,克蘭詩,蘭花純萃賦活乳,"關於產品：蘭花純萃賦活乳。
膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚。
質地： 雙層。
使用說明： 早上及／或晚上使用。
產品特點：修復肌膚深度保濕賦活光澤。"
(48-53),Female,有皺紋無黑斑,克蘭詩,極緻活齡撫紋精華水,"關於產品：這款美魔塑顏水適合所有膚質，結合天然植萃成分和長短鏈玻尿酸，為肌膚提供長達8小時的強效保濕，同時喚活肌底，使肌膚重拾活力，其配方專門針對抗老，有助顯著緊緻肌膚，維持彈性豐潤，精華水還可以做為前導為肌膚打好基礎，快速吸收後續塗抹的保養品，絲滑柔潤質地可深入滲透肌底，讓肌膚感覺飽滿澎潤，其環保設計瓶裝採用至少25%再生塑膠。
膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚。
質地： 乳液。
使用說明： 每天早上和/或晚上使用。
產品特點：滋潤補濕、肌膚煥然一新，啟動原生活力、明顯撫平細紋，修護肌膚。"
(48-53),Female,無皺紋有黑斑,克蘭詩,氧氣亮白淡斑精華,"關於產品：肌膚深呼吸、透亮白！氧氣亮白淡斑精華有口皆碑的加勒比櫻桃美白力，再加上全新超級植物-桃金孃萃取，讓肌膚不單是透出光澤，更勻淨無瑕，煥發由內而外的好氣色。
膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚。
質地： 精華液。
使用說明： 早上和/或晚上使用。 
產品特點：亮白有感、健康光澤。"
(48-53),Female,有皺紋有黑斑,克蘭詩,黃金亮眼萃,"關於產品：為眼周的脆弱肌膚，精選有機高山峨參和黃金薑黃等13種植萃，注入獨創水乳雙質地，96%源於天然成份，全方位擊退眼周老化跡象，24H保濕抗乾紋、100%有感彈潤亮，一抹亮眼水光圈立現。
膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚。
質地： 水狀。
使用說明： 每天早/晚由內而外輕按於全眼周。 
產品特點：緊彈、水潤、提亮、細緻、防禦。"
(48-53),Female,無皺紋無黑斑,克蘭詩,水潤奇肌保濕精華,"關於產品：克蘭詩水潤奇肌保濕精華仿效肌膚皮脂膜結構而設計的水脂雙質地，由80%精華水與20%精油的植純精萃組成，可提升產品與細胞的親合性，讓清爽的液態質地瞬間被吸收，達到瞬間強效補水的功能，質地輕盈無負擔，極適合亞洲天候或任何膚質使用；具高效修護力，從防止肌膚表皮水分蒸發、強化天然保水屏障、激活天然保濕因子的鎖水力、到鞏固真皮層水庫，層層保水，創造長效完美保濕力。
如何使用：每天早晚於清潔、化妝水步驟後使用，塗抹時請從臉部中央向外側輕輕按壓。
膚質： 一般肌膚, 乾性肌膚, 混合性肌膚, 油性肌膚。
質地： 用水。
使用說明： 早上及/或晚上塗抹於臉部和頸部。
產品特點：深層潤澤，肌膚煥然一新、重現光澤、撫平肌理。"
(60-100),Male,有皺紋無黑斑,克蘭詩,至臻凝時月神花乳霜,"關於產品：克蘭詩至臻凝時月神花乳霜，以自然超凡的煥膚護理功效，為肌膚提供真正煥活新生動力，突破頂級乳霜之巔，配方的精髓在於取用月神花搭配-196度超低溫萃取技術，具重新激活長壽蛋白FOXO讓肌膚根源煥活，搭配三重精品級胜肽，層層煥新， 抵禦歲月痕跡，肌膚更緊緻飽滿，配方以92% 成分源於天然，蘊含豐富有機生命之葉萃取（喚醒肌膚天然保濕力）、針葉櫻桃種籽萃取（有助煥亮肌膚光澤）、滋潤肌膚的山茶花精油，以及立即拉提肌膚的有機燕麥醣，同時，維生素C衍生物有助抑制黑色素形成減少斑點 ，合歡樹萃取則有助改善蠟黃，恢復肌膚透亮光澤。
膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚 。
使用說明： 每天早上和/或晚上使用。 
產品特點：肌膚回復完美的澎潤感，顯著撫平紋路緊緻肌膚。，肌膚倍感緊緻澎潤及透亮，超越護膚 一抹凝時。，肌膚煥發青春的活力光芒。"
(60-100),Male,無皺紋有黑斑,克蘭詩,氧氣亮白淡斑水凝霜,"關於產品：這款清爽水凝霜由克蘭詩天然植萃「氧氣亮白創新科技」推動，可強效滋潤肌膚，同時幫助恢復亮澤感並保持肌膚彈潤好膚質，創新配方，以加勒比櫻桃種籽和桃金孃兩款超級提亮水果的萃提配製而成，有助改善暗沉問題，讓肌膚重現透亮光采，維生素C衍生物有助減少黑斑浮現，而強效植萃更可煥發提亮，勻淨膚色，水凝霜質地清爽好吸收、不黏膩， 適合所有膚質使用。
膚質： 油性肌膚。
質地： 凝乳。
使用說明： 早晚使用。
產品特點：強效深層補水、減淡黑斑的深色程度、勻淨膚色、讓肌膚散發健康光采。"
(60-100),Male,有皺紋有黑斑,克蘭詩,超級精華-黃金雙激萃,"關於產品：克蘭詩首度破解肌膚的年輕密碼！了解唯一*蘊含 [20+1] 種高效植物精華的 [水+油] 配方護理，高效激活5大控齡修復關鍵，嶄新全面雙重配方結合天然成份：薑黃萃取、豐富的薑黃酮及20種高效植物精華，有效提升抗老功效，明顯減淡老化跡象，重拾肌膚光澤。
膚質： 混合性肌膚,乾性肌膚, 一般肌膚, 油性肌膚。
質地： 水狀。
產品特點：肌膚更緊實、明顯撫平細紋、膚色均勻帶有光澤、緊緻毛孔。"
(60-100),Male,無皺紋無黑斑,克蘭詩,極緻活齡玫瑰亮采霜,"關於產品：綻放粉嫩光澤美肌，無懼歲月洗禮，這款日間保養品結合所有克蘭詩針對緊實及透亮的保養經驗，喚醒熟齡肌，重塑臉部線條，再現活力光采。
膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚。
質地： 乳霜。
使用說明： 每天早上使用。
產品特點：四色珍珠光複合物賦予肌膚紅潤柔和色澤，瞬間展現迷人膚色，溫和去角質，緊緻毛孔，重拾光滑細緻的膚質，重整每一層肌膚的密度。"
(60-100),Female,有皺紋無黑斑,克蘭詩,至臻凝時月神花乳霜,"關於產品：克蘭詩至臻凝時月神花乳霜，以自然超凡的煥膚護理功效，為肌膚提供真正煥活新生動力，突破頂級乳霜之巔，配方的精髓在於取用月神花搭配-196度超低溫萃取技術，具重新激活長壽蛋白FOXO讓肌膚根源煥活，搭配三重精品級胜肽，層層煥新， 抵禦歲月痕跡，肌膚更緊緻飽滿，配方以92% 成分源於天然，蘊含豐富有機生命之葉萃取（喚醒肌膚天然保濕力）、針葉櫻桃種籽萃取（有助煥亮肌膚光澤）、滋潤肌膚的山茶花精油，以及立即拉提肌膚的有機燕麥醣，同時，維生素C衍生物有助抑制黑色素形成減少斑點 ，合歡樹萃取則有助改善蠟黃，恢復肌膚透亮光澤。
膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚 。
使用說明： 每天早上和/或晚上使用。 
產品特點：肌膚回復完美的澎潤感，顯著撫平紋路緊緻肌膚。，肌膚倍感緊緻澎潤及透亮，超越護膚 一抹凝時。，肌膚煥發青春的活力光芒。"
(60-100),Female,無皺紋有黑斑,克蘭詩,氧氣亮白淡斑水凝霜,"關於產品：這款清爽水凝霜由克蘭詩天然植萃「氧氣亮白創新科技」推動，可強效滋潤肌膚，同時幫助恢復亮澤感並保持肌膚彈潤好膚質，創新配方，以加勒比櫻桃種籽和桃金孃兩款超級提亮水果的萃提配製而成，有助改善暗沉問題，讓肌膚重現透亮光采，維生素C衍生物有助減少黑斑浮現，而強效植萃更可煥發提亮，勻淨膚色，水凝霜質地清爽好吸收、不黏膩， 適合所有膚質使用。
膚質： 油性肌膚。
質地： 凝乳。
使用說明： 早晚使用。
產品特點：強效深層補水、減淡黑斑的深色程度、勻淨膚色、讓肌膚散發健康光采。"
(60-100),Female,有皺紋有黑斑,克蘭詩,極緻活齡撫紋日霜,"關於產品：此款日霜應對女性荷爾蒙變化，緩和對肌膚造成的有害影響。瞬間柔滑膚質，每晚深層滋潤肌膚，持續撫平和緊緻拉提，清晨醒來時煥發晶瑩光芒，秘密是甚麼？強效植萃科研雙分子，結合有機哈倫加那萃取和有機金雀花萃取，有助肌膚恢復彈潤觸感，賦予緊緻拉提效果，擊退肌膚鬆弛問題，豐潤奶油質地富含有機乳木果油，可強效滋潤肌膚，深層補水，皺紋明顯減淡，肌膚重拾舒爽感覺，飽滿柔嫩。肌膚更飽滿、更緊緻，透亮煥發。其清新細膩花香搭配柔和中調，締造愉悅宜人的享受，蘊含抗污染複合素。
膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚。
質地： 乳霜。
使用說明： 每天早上使用。
產品特點：肌膚飽滿、皺紋減淡、勻淨白皙、淡黑減斑、水潤柔嫩、克蘭詩抗污染複合素。"
(60-100),Female,無皺紋無黑斑,克蘭詩,煥顏緊緻彈力乳液,"關於產品：乳液採用輕盈配方，容易滲入表皮的深層，超保濕補水質地，秒吸收，只留水潤不黏膩， 一年四季、全膚質皆適用，尤其適用於容易出油的肌膚，這是一款高效但輕盈的緊緻配方，能激活膠原煥生，強化肌膚彈力，透過袋鼠花萃取，促進肌膚膠原煥生，肌膚澎彈飽滿有活力；結合蓋裂果萃取，促進肌膚彈力連接，肌膚更加緊緻有彈性，使肌膚顯著飽滿水潤，減少細紋的顯現，使肌膚明顯更緊緻，它具有與煥顏緊緻系列一樣的玫瑰與山茶花的柔軟迷人的香氣。
膚質： 混合性肌膚, 乾性肌膚, 一般肌膚, 油性肌膚。
質地： 水乳液。
使用說明： 早晚使用。 
產品特點：令肌膚顯得澎彈飽滿，彈嫩緊緻，輕盈保濕又水潤。"